id,status,created_by,created_time,reminder_topic,reminder_content,type,publish,version,site_id,user_id,role,assgn,email,pin,mobile
主键,是否被删除,创建人,创建时间,通知主题,通知内容（长度1024）,是否已经提醒,是否发布,版本,中心ID,用户ID,,赋予的中心,,123456,18888888888
1,,,20220418,注册,请修改密码,否,,1,北京肿瘤医院,Andy,PI,北京肿瘤医院,,123456,18888888888
2,,,20220418,注册,请修改密码,否,,1,北京肿瘤医院,Simon,PI,北京肿瘤医院,,123456,18888888888
3,,,20220418,注册,请修改密码,否,,1,北京肿瘤医院,Wilson,PI,北京肿瘤医院,,123456,18888888888
4,,,20220418,问题,请问输注的要求,否,,2,广东省人民医院,Clare,PI,广东省人民医院,,123456,18888888888
5,,,20220418,注册,请修改密码,否,,2,广东省人民医院,Susan,PI,广东省人民医院,,123456,18888888888
6,,,20220418,注册,请修改密码,否,,2,广东省人民医院,Matthew,PI,广东省人民医院,,123456,18888888888
7,,,20220418,问题,北京肿瘤的Clare的问题： 请问输注的要求,否,,3,阿斯利康中国,Yue,CRA,北京肿瘤医院,,123456,18888888888
8,,,20220418,问题,北京肿瘤的Clare的问题： 请问输注的要求,否,,3,阿斯利康中国,Shawn,CRA,"北京肿瘤医院, 广东省人民医院",,123456,18888888888
9,,,20220418,问题,"北京肿瘤的Clare的问题： 请问输注的要求
SOA的要求",否,,3,阿斯利康中国,Katie,CRA,北京肿瘤医院,,123456,18888888888
10,,,20220418,问题,北京肿瘤的Clare的问题： 请问输注的要求,否,,3,阿斯利康中国,Junhui,CRA,北京肿瘤医院,,123456,18888888888
11,,,20220418,问题,广东省人民医院的Susan的问题： 请问访视周期的安排,否,,3,阿斯利康中国,Yunru,CRA,广东省人民医院,,123456,18888888888
12,,,20220418,问题,广东省人民医院的Susan的问题： 请问访视周期的安排,否,,3,阿斯利康中国,Kenny,CRA,广东省人民医院,,123456,18888888888
13,,,20220418,问题,广东省人民医院的Susan的问题： 请问访视周期的安排,否,,3,阿斯利康中国,Chrain,CRA,广东省人民医院,,123456,18888888888
14,,,20220418,问题,北京肿瘤的Clare的问题： 请问输注的要求,否,,3,阿斯利康中国,Yongguo,CRA,北京肿瘤医院,,123456,18888888888
15,,,20220418,注册,北京肿瘤的Clare的问题： 请问输注的要求,否,,3,阿斯利康中国,Felix,CRA,北京肿瘤医院,,123456,18888888888
16,,,20220418,问题,阿斯利康中国的Kaite的问题：SOA的要求,否,,3,一临云,Weiping,Sys,阿斯利康中国,,123456,18888888888
17,,,20220418,注册,请修改密码,否,,3,一临云,Pengyuan,Sys,阿斯利康中国,,123456,18888888888
18,,,20220418,注册,请修改密码,否,,3,一临云,Robin,Sys,阿斯利康中国,,123456,18888888888
19,,,20220418,注册,请修改密码,否,,3,一临云,Xinjie,Sys,阿斯利康中国,,123456,18888888888
20,,,20220418,注册,请修改密码,否,,3,一临云,Bo,Sys,阿斯利康中国,,123456,18888888888
21,,,20220418,注册,请修改密码,否,,3,一临云,Yantao,Sys,阿斯利康中国,,123456,18888888888
22,,,20220418,注册,请修改密码,否,,3,一临云,Kevin,Sys,阿斯利康中国,,123456,18888888888
23,,,20220418,注册,请修改密码,否,,3,一临云,Baochun,Sys,阿斯利康中国,,123456,18888888888
24,,,20220418,注册,请修改密码,否,,3,一临云,Quan,Sys,阿斯利康中国,,123456,18888888888
25,,,20220418,注册,请修改密码,否,,3,一临云,Michael,Sys,阿斯利康中国,,123456,18888888888
26,,,20220418,注册,请修改密码,否,,3,一临云,Huiren,Sys,阿斯利康中国,,123456,18888888888
27,,,20220418,问题,阿斯利康中国的Kaite的问题：SOA的要求,否,,4,一临云,weiqiang,Sys,阿斯利康中国,,123456,18888888888
